*******************************************************************************
 Revised: July 31, 2013                  Sun                                 10

 PHYSICAL PROPERTIES (updated 2018-Aug-15):
  GM, km^3/s^2          = 132712440041.93938  Mass, 10^24 kg        = ~1988500
  Vol. mean radius, km  = 695700              Volume, 10^12 km^3    = 1412000
  Solar radius (IAU)    = 696000 km           Mean density, g/cm^3  = 1.408
  Radius (photosphere)  = 696500 km           Angular diam at 1 AU  = 1919.3"
  Photosphere temp., K  = 6600 (bottom)       Photosphere temp., K  = 4400(top)
  Photospheric depth    = ~500 km             Chromospheric depth   = ~2500 km
  Flatness, f           = 0.00005             Adopted sid. rot. per.= 25.38 d
  Surface gravity       =  274.0 m/s^2        Escape speed, km/s    =  617.7
  Pole (RA,DEC), deg.   = (286.13, 63.87)     Obliquity to ecliptic = 7.25 deg.
  Solar constant (1 AU) = 1367.6 W/m^2        Luminosity, 10^24 J/s = 382.8
  Mass-energy conv rate = 4.260 x 10^9 kg/s   Effective temp, K     = 5772
  Sunspot cycle         = 11.4 yr             Cycle 24 sunspot min. = 2008 A.D.

  Motion relative to nearby stars = apex : R.A.= 271 deg.; DEC.= +30 deg.
                                    speed: 19.4 km/s (0.0112 au/day)
  Motion relative to 2.73K BB/CBR = apex : l= 264.7 +- 0.8; b= 48.2 +- 0.5 deg.
                                    speed: 369 +-11 km/s
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Jan  8 06:02:04 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2022-Jan-08 00:00:00.0000 UT      
Stop  time      : A.D. 2022-Feb-07 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 301.500100,-34.333200,1.059E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 301.500100,5272.50139,-3577.028 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: DE441}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.220106.p220401                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-JAN-06. PREDICTS-> 2022-MAR-31
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , ,Azi_(a-app), Elev_(a-app),
*************************************************
$$SOE
 2022-Jan-08 00:00,N,m, 234.467919,    -9.613985,
 2022-Jan-08 00:05,N,m, 233.656327,   -10.449791,
 2022-Jan-08 00:10,N,m, 232.833371,   -11.276877,
 2022-Jan-08 00:15,A,m, 231.998734,   -12.094949,
 2022-Jan-08 00:20,A,m, 231.152105,   -12.903702,
 2022-Jan-08 00:25,A,m, 230.293174,   -13.702825,
 2022-Jan-08 00:30,A,m, 229.421638,   -14.491996,
 2022-Jan-08 00:35,A,m, 228.537196,   -15.270884,
 2022-Jan-08 00:40,A,m, 227.639555,   -16.039150,
 2022-Jan-08 00:45,A,m, 226.728430,   -16.796444,
 2022-Jan-08 00:50,A,m, 225.803545,   -17.542409,
 2022-Jan-08 00:55, ,m, 224.864632,   -18.276677,
 2022-Jan-08 01:00, ,m, 223.911436,   -18.998872,
 2022-Jan-08 01:05, ,m, 222.943717,   -19.708609,
 2022-Jan-08 01:10, ,m, 221.961246,   -20.405493,
 2022-Jan-08 01:15, ,m, 220.963815,   -21.089124,
 2022-Jan-08 01:20, ,m, 219.951231,   -21.759091,
 2022-Jan-08 01:25, ,m, 218.923323,   -22.414975,
 2022-Jan-08 01:30, ,m, 217.879944,   -23.056351,
 2022-Jan-08 01:35, ,m, 216.820970,   -23.682789,
 2022-Jan-08 01:40, ,m, 215.746305,   -24.293849,
 2022-Jan-08 01:45, ,m, 214.655882,   -24.889089,
 2022-Jan-08 01:50, ,m, 213.549667,   -25.468062,
 2022-Jan-08 01:55, ,m, 212.427658,   -26.030315,
 2022-Jan-08 02:00, ,m, 211.289892,   -26.575396,
 2022-Jan-08 02:05, ,m, 210.136442,   -27.102849,
 2022-Jan-08 02:10, ,m, 208.967425,   -27.612218,
 2022-Jan-08 02:15, ,m, 207.782998,   -28.103049,
 2022-Jan-08 02:20, ,m, 206.583366,   -28.574890,
 2022-Jan-08 02:25, ,m, 205.368779,   -29.027292,
 2022-Jan-08 02:30, ,m, 204.139537,   -29.459813,
 2022-Jan-08 02:35, ,m, 202.895989,   -29.872017,
 2022-Jan-08 02:40, ,m, 201.638536,   -30.263476,
 2022-Jan-08 02:45, ,m, 200.367632,   -30.633775,
 2022-Jan-08 02:50, ,m, 199.083780,   -30.982510,
 2022-Jan-08 02:55, ,m, 197.787539,   -31.309290,
 2022-Jan-08 03:00, , , 196.479519,   -31.613742,
 2022-Jan-08 03:05, , , 195.160380,   -31.895511,
 2022-Jan-08 03:10, , , 193.830834,   -32.154261,
 2022-Jan-08 03:15, , , 192.491640,   -32.389678,
 2022-Jan-08 03:20, , , 191.143603,   -32.601470,
 2022-Jan-08 03:25, , , 189.787571,   -32.789374,
 2022-Jan-08 03:30, , , 188.424433,   -32.953149,
 2022-Jan-08 03:35, , , 187.055112,   -33.092585,
 2022-Jan-08 03:40, , , 185.680565,   -33.207501,
 2022-Jan-08 03:45, , , 184.301775,   -33.297745,
 2022-Jan-08 03:50, , , 182.919747,   -33.363199,
 2022-Jan-08 03:55, , , 181.535506,   -33.403776,
 2022-Jan-08 04:00, , , 180.150086,   -33.419421,
 2022-Jan-08 04:05, , , 178.764529,   -33.410113,
